Date : 2023-06-25 14:30:36
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 114 files,  6370 codes, 342 comments, 651 blanks, all 7363 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         82 |      5,025 |        244 |        560 |      5,829 |
| JSON       |          8 |        878 |          0 |          4 |        882 |
| XML        |         11 |        173 |         46 |         11 |        230 |
| HTML       |          1 |         98 |         16 |         15 |        129 |
| Groovy     |          3 |         94 |          5 |         23 |        122 |
| YAML       |          2 |         61 |         29 |         20 |        110 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        114 |      6,370 |        342 |        651 |      7,363 |
| . (Files)                                                                                                                 |          3 |         71 |         29 |         27 |        127 |
| android                                                                                                                   |         15 |        246 |         49 |         34 |        329 |
| android (Files)                                                                                                           |          3 |         40 |          0 |         10 |         50 |
| android\app                                                                                                               |         11 |        201 |         49 |         23 |        273 |
| android\app (Files)                                                                                                       |          2 |         96 |          5 |         14 |        115 |
| android\app\src                                                                                                           |          9 |        105 |         44 |          9 |        158 |
| android\app\src\debug                                                                                                     |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                      |          7 |         97 |         36 |          7 |        140 |
| android\app\src\main (Files)                                                                                              |          1 |         29 |          4 |          1 |         34 |
| android\app\src\main\res                                                                                                  |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                                                         |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                     |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                           |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                     |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                                 |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                                                       |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                                                                   |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                    |          3 |        638 |          0 |          0 |        638 |
| assets\jsons                                                                                                              |          3 |        638 |          0 |          0 |        638 |
| assets\jsons\lang                                                                                                         |          1 |         37 |          0 |          0 |         37 |
| assets\jsons\study                                                                                                        |          2 |        601 |          0 |          0 |        601 |
| ios                                                                                                                       |          9 |        257 |          4 |         14 |        275 |
| ios\Runner                                                                                                                |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                      |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                     |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                       |         81 |      5,011 |        234 |        553 |      5,798 |
| lib (Files)                                                                                                               |          1 |         79 |          0 |          6 |         85 |
| lib\features                                                                                                              |         52 |      3,263 |        184 |        353 |      3,800 |
| lib\features\admin                                                                                                        |         30 |      1,945 |        175 |        216 |      2,336 |
| lib\features\admin\service                                                                                                |          1 |         31 |          0 |          5 |         36 |
| lib\features\admin\view                                                                                                   |         29 |      1,914 |        175 |        211 |      2,300 |
| lib\features\admin\view (Files)                                                                                           |          1 |         40 |          0 |          6 |         46 |
| lib\features\admin\view\announcement                                                                                      |          4 |        199 |          0 |         24 |        223 |
| lib\features\admin\view\announcement (Files)                                                                              |          3 |        183 |          0 |         19 |        202 |
