Date : 2023-05-20 10:33:20
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 81 files,  3636 codes, 200 comments, 421 blanks, all 4257 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\features\admin\view                                                                              |          7 |        827 |          4 |         71 |        902 |
| lib\features\admin\viewmodel                                                                         |          4 |         72 |         18 |         33 |        123 |
| lib\features\auth                                                                                    |          7 |        445 |         27 |         75 |        547 |
| lib\features\auth\login                                                                              |          3 |        178 |         13 |         32 |        223 |
| lib\features\auth\login\view                                                                         |          1 |        120 |          1 |         15 |        136 |
| lib\features\auth\login\viewmodel                                                                    |          2 |         58 |         12 |         17 |         87 |
| lib\features\auth\register                                                                           |          3 |        173 |         13 |         33 |        219 |
| lib\features\auth\register\view                                                                      |          1 |        136 |          1 |         18 |        155 |
| lib\features\auth\register\viewmodel                                                                 |          2 |         37 |         12 |         15 |         64 |
| lib\features\auth\service                                                                            |          1 |         94 |          1 |         10 |        105 |
| lib\features\home                                                                                    |          3 |        184 |          5 |         23 |        212 |
| lib\features\home\view                                                                               |          1 |        172 |          0 |         13 |        185 |
| lib\features\home\viewmodel                                                                          |          2 |         12 |          5 |         10 |         27 |
| lib\features\loading                                                                                 |          1 |         13 |          0 |          3 |         16 |
| lib\features\reject                                                                                  |          1 |         12 |          0 |          3 |         15 |
| lib\features\wait                                                                                    |          1 |         40 |          0 |          4 |         44 |
| lib\product                                                                                          |         25 |        711 |         24 |        108 |        843 |
| lib\product\base                                                                                     |          2 |         41 |          1 |         11 |         53 |
| lib\product\base\model                                                                               |          1 |          6 |          0 |          3 |          9 |
| lib\product\base\view                                                                                |          1 |         35 |          1 |          8 |         44 |
| lib\product\constants                                                                                |          1 |          4 |          1 |          2 |          7 |
| lib\product\enum                                                                                     |          5 |         17 |          0 |          7 |         24 |
| lib\product\gen                                                                                      |          1 |         90 |         17 |         26 |        133 |
| lib\product\init                                                                                     |          5 |        124 |          4 |         14 |        142 |
| lib\product\init\lang                                                                                |          2 |         42 |          2 |          8 |         52 |
| lib\product\init\theme                                                                               |          2 |         73 |          2 |          5 |         80 |
| lib\product\init\validation                                                                          |          1 |          9 |          0 |          1 |         10 |
| lib\product\model                                                                                    |          3 |         68 |          1 |         11 |         80 |
| lib\product\widget                                                                                   |          8 |        367 |          0 |         37 |        404 |
| lib\product\widget\admin                                                                             |          2 |        123 |          0 |         11 |        134 |
| lib\product\widget\button                                                                            |          1 |         38 |          0 |          5 |         43 |
| lib\product\widget\card                                                                              |          3 |         97 |          0 |          9 |        106 |
| lib\product\widget\text_field                                                                        |          2 |        109 |          0 |         12 |        121 |
| test                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                  |          2 |         73 |         16 |          7 |         96 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\oguzk\Documents\GitHub\biren\README.md                                                      | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\oguzk\Documents\GitHub\biren\analysis_options.yaml                                          | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\build.gradle                                       | Groovy     |         57 |          5 |         14 |         76 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\google-services.json                               | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\debug\AndroidManifest.xml                      | XML        |          4 |          4 |          1 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\AndroidManifest.xml                       | XML        |         29 |          6 |          1 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable-v21\launch_background.xml    | XML        |          4 |          7 |          2 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\drawable\launch_background.xml        | XML        |          4 |          7 |          2 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values-night\styles.xml               | XML        |          9 |          9 |          1 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\main\res\values\styles.xml                     | XML        |          9 |          9 |          1 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\android\app\src\profile\AndroidManifest.xml                    | XML        |          4 |          4 |          1 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\android\build.gradle                                           | Groovy     |         29 |          0 |          5 |         34 |
| c:\Users\oguzk\Documents\GitHub\biren\android\gradle.properties                                      | Properties |          3 |          0 |          1 |          4 |
| c:\Users\oguzk\Documents\GitHub\biren\android\gradle\wrapper\gradle-wrapper.properties               | Properties |          5 |          0 |          1 |          6 |
| c:\Users\oguzk\Documents\GitHub\biren\android\settings.gradle                                        | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\lang\tr-TR.json                                   | JSON       |         37 |          0 |          0 |         37 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\lessons.json                                | JSON       |        589 |          0 |          0 |        589 |
| c:\Users\oguzk\Documents\GitHub\biren\assets\jsons\study\subjects.json                               | JSON       |         12 |          0 |          0 |         12 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\RunnerTests\RunnerTests.swift                              | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\AppDelegate.swift                                   | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json    | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json  | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md      | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\LaunchScreen.storyboard                  | XML        |         36 |          1 |          1 |         38 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Base.lproj\Main.storyboard                          | XML        |         25 |          1 |          1 |         27 |
| c:\Users\oguzk\Documents\GitHub\biren\ios\Runner\Runner-Bridging-Header.h                            | C++        |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\service\announcement_service.dart           | Dart       |         32 |          0 |          5 |         37 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\add_announcement_view.dart             | Dart       |        123 |          0 |         11 |        134 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\admin_home_view.dart                   | Dart       |         47 |          1 |          7 |         55 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\create_homework_view.dart              | Dart       |        161 |          1 |         12 |        174 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\create_homework_view_2.dart            | Dart       |        169 |          1 |         16 |        186 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\login_requiest_view.dart               | Dart       |        119 |          0 |          6 |        125 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\student_edit_view.dart                 | Dart       |        135 |          1 |         14 |        150 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\view\students_view.dart                     | Dart       |         73 |          0 |          5 |         78 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.dart   | Dart       |         17 |          1 |          8 |         26 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\add_announcement_viewmodel.g.dart | Dart       |         42 |          5 |         13 |         60 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.dart         | Dart       |          5 |          7 |          6 |         18 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\admin\viewmodel\admin_home_viewmodel.g.dart       | Dart       |          8 |          5 |          6 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\view\login_view.dart                   | Dart       |        120 |          1 |         15 |        136 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.dart         | Dart       |         28 |          7 |          8 |         43 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\login\viewmodel\login_viewmodel.g.dart       | Dart       |         30 |          5 |          9 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\view\register_view.dart             | Dart       |        136 |          1 |         18 |        155 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.dart   | Dart       |         17 |          7 |          7 |         31 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\register\viewmodel\register_viewmodel.g.dart | Dart       |         20 |          5 |          8 |         33 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\auth\service\auth_service.dart                    | Dart       |         94 |          1 |         10 |        105 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\view\home_view.dart                          | Dart       |        172 |          0 |         13 |        185 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.dart                | Dart       |          4 |          0 |          4 |          8 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\home\viewmodel\home_viewmodel.g.dart              | Dart       |          8 |          5 |          6 |         19 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\loading\loading_view.dart                         | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\reject\rejected_view.dart                         | Dart       |         12 |          0 |          3 |         15 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\features\wait\waiting_view.dart                            | Dart       |         40 |          0 |          4 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\main.dart                                                  | Dart       |         78 |          0 |          6 |         84 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\model\base_view_model.dart                    | Dart       |          6 |          0 |          3 |          9 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\base\view\base_view.dart                           | Dart       |         35 |          1 |          8 |         44 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\constants\app_constants.dart                       | Dart       |          4 |          1 |          2 |          7 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\admin_feature_types.dart                      | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\cross_check_enum.dart                         | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\firebase_collection_enum.dart                 | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\grade_enums.dart                              | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\enum\homework_type_enum.dart                       | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\gen\assets.gen.dart                                | Dart       |         90 |         17 |         26 |        133 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\language_manager.dart                    | Dart       |         11 |          0 |          5 |         16 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\lang\locale_keys.g.dart                       | Dart       |         31 |          2 |          3 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\light_theme_colors.dart                 | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\theme\theme.dart                              | Dart       |         62 |          2 |          3 |         67 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\init\validation\regex_validations.dart             | Dart       |          9 |          0 |          1 |         10 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\announcement_card_model.dart                 | Dart       |         15 |          0 |          3 |         18 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\homework_model.dart                          | Dart       |         32 |          0 |          4 |         36 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\model\user_model.dart                              | Dart       |         21 |          1 |          4 |         26 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\admin_select_feature.dart             | Dart       |         90 |          0 |          7 |         97 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\admin\cross_check_container.dart            | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\button\main_button.dart                     | Dart       |         38 |          0 |          5 |         43 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\announcement_card.dart                 | Dart       |         59 |          0 |          3 |         62 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\homework_card.dart                     | Dart       |         18 |          0 |          3 |         21 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\card\study_card.dart                        | Dart       |         20 |          0 |          3 |         23 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\auth_text_field.dart             | Dart       |         71 |          0 |          8 |         79 |
| c:\Users\oguzk\Documents\GitHub\biren\lib\product\widget\text_field\main_text_field.dart             | Dart       |         38 |          0 |          4 |         42 |
| c:\Users\oguzk\Documents\GitHub\biren\pubspec.yaml                                                   | YAML       |         51 |         18 |         18 |         87 |
| c:\Users\oguzk\Documents\GitHub\biren\test\widget_test.dart                                          | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\oguzk\Documents\GitHub\biren\web\index.html                                                 | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\oguzk\Documents\GitHub\biren\web\manifest.json                                              | JSON       |         35 |          0 |          1 |         36 |
| Total                                                                                                |            |      3,636 |        200 |        421 |      4,257 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
