Date : 2023-06-12 21:29:54
Directory : c:\Users\oguzk\Documents\GitHub\biren
Total : 110 files,  5891 codes, 393 comments, 664 blanks, all 6948 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         78 |      4,552 |        284 |        572 |      5,408 |
| JSON       |          8 |        878 |          0 |          4 |        882 |
| XML        |         11 |        173 |         46 |         11 |        230 |
| HTML       |          1 |         98 |         16 |         15 |        129 |
| Groovy     |          3 |         94 |          5 |         23 |        122 |
| YAML       |          2 |         55 |         40 |         21 |        116 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        110 |      5,891 |        393 |        664 |      6,948 |
| . (Files)                                                                                                            |          3 |         65 |         40 |         28 |        133 |
| android                                                                                                              |         15 |        246 |         49 |         34 |        329 |
| android (Files)                                                                                                      |          3 |         40 |          0 |         10 |         50 |
| android\app                                                                                                          |         11 |        201 |         49 |         23 |        273 |
| android\app (Files)                                                                                                  |          2 |         96 |          5 |         14 |        115 |
| android\app\src                                                                                                      |          9 |        105 |         44 |          9 |        158 |
| android\app\src\debug                                                                                                |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                 |          7 |         97 |         36 |          7 |        140 |
| android\app\src\main (Files)                                                                                         |          1 |         29 |          4 |          1 |         34 |
| android\app\src\main\res                                                                                             |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                                                    |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                                |          1 |          9 |          0 |          1 |         10 |
